Feature,Importance_Mean,Importance_SD
A1Cresult,0.02289839729144287,0.002105266561250883
A1Cresult_tested,0.01645880069245096,0.001420658687943276
number_inpatient,0.012821631810740464,0.0015753237710894052
age,0.003273519401547452,0.0007186444321849019
diag_1_group,0.0016115780279578689,0.0009802637719896533
number_emergency,0.0014725078433872358,0.0005935095014497246
num_procedures,0.0010786171023836623,0.0006629185373315896
diag_3_group,0.0007393034357820085,0.00031531360300548453
number_diagnoses,0.0006693970645845996,0.0006078757033732077
admission_source_id_label,0.0006596699440831286,0.00024938435332758904
diabetesMed,0.0005818761961220012,0.0004947064303801117
max_glu_serum,0.0005097346368978809,0.0001304443502178605
metformin,0.00048118113638600244,0.00022238531708620554
medical_specialty,0.00027632926745663753,0.0007968149791425987
change,0.00016996210273525076,8.813197168161359e-05
repaglinide,0.00015907502903411003,0.00014835673723995736
insulin,0.00015780854702308612,0.00037794124692188714
diag_2_group,0.00010899023886865727,0.0006071563434510784
gender,8.575493218667684e-05,4.9459854293740955e-05
pioglitazone,7.057437062197857e-05,0.00012450894542570117
race,6.164708556634646e-05,3.084816348439226e-05
rosiglitazone,6.131502937857803e-05,0.00015961880460638381
glimepiride,5.030300147354644e-05,0.00017732194013837148
admission_type_id_label,5.0169162029982395e-05,9.96684158612619e-05
admission_source_id,2.6237544228635556e-05,0.00014917794417626412
glyburide,2.226673212481489e-05,3.0030140085528215e-05
number_outpatient,6.143127379067137e-06,1.7919732327234418e-06
glipizide,2.907824810330362e-06,5.898985685863222e-05
acarbose,4.112728827929124e-07,9.581273273736755e-07
acetohexamide,0.0,0.0
admission_type_id,0.0,0.0
metformin-pioglitazone,0.0,0.0
metformin-rosiglitazone,0.0,0.0
tolbutamide,0.0,0.0
glipizide-metformin,0.0,0.0
glimepiride-pioglitazone,0.0,0.0
max_glu_serum_tested,0.0,0.0
citoglipton,0.0,0.0
examide,0.0,0.0
tolazamide,0.0,0.0
troglitazone,0.0,0.0
miglitol,0.0,0.0
chlorpropamide,0.0,0.0
glyburide-metformin,-4.331586062187309e-05,8.635884102142756e-05
nateglinide,-9.791277559402789e-05,6.590440296842965e-05
payer_code,-0.00023563137969368625,0.0006686911232610681
num_lab_procedures,-0.00023595350699243678,0.00024562518652387753
num_medications,-0.000648741950258351,0.0008480085945157657
time_in_hospital,-0.001175803212679731,0.0010095605843332463
